"Nid","Photo Point ID","Date","Image"
"4842","4841","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_ptb_3_lower.jpg"
"4845","4844","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_c1.jpg"
"4847","4846","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_c2.jpg"
"4849","4848","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_c3.jpg"
"4870","4869","Wed, 2013-04-03","sites/streamwebs.org/files/images/mrs_spinks_sixth_grade_2013_photo_point_monitoring_toledo_strea_002.jpg"
"4872","4871","Mon, 2013-03-04","sites/streamwebs.org/files/images/mrs_spinks_sixth_grade_2013_photo_point_monitoring_toledo_strea_003.jpg"
"4874","4873","Mon, 2013-03-04","sites/streamwebs.org/files/images/mrs_spinks_sixth_grade_2013_photo_point_monitoring_toledo_strea_006.jpg"
"4894","4893","Wed, 2013-03-13","sites/streamwebs.org/files/images/creek_pic_2.jpg"
"4895","4893","Wed, 2013-03-13","sites/streamwebs.org/files/images/creek_pic_3.jpg"
"4896","4893","Wed, 2013-03-13","sites/streamwebs.org/files/images/stick_pic_1.jpg"
"4897","4893","Wed, 2013-03-13","sites/streamwebs.org/files/images/stick_pic_2.jpg"
"4899","4893","Wed, 2013-03-13","sites/streamwebs.org/files/images/thorns_pic_11.jpg"
"4900","4893","Wed, 2013-03-13","sites/streamwebs.org/files/images/thorns_pic_21.jpg"
"4902","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_10_34_22_smartshoot.jpg"
"4903","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_10_39_57_smartshoot.jpg"
"4904","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_10_41_45_smartshoot.jpg"
"4905","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_10_52_14_smartshoot.jpg"
"4906","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_10_54_44_smartshoot.jpg"
"4907","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_10_57_49_smartshoot.jpg"
"4908","4901","Wed, 2013-04-10","sites/streamwebs.org/files/images/wp_20130410_11_01_14_smartshoot.jpg"
"4910","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_10_34_39_smartshoot.jpg"
"4911","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_10_46_22_smartshoot.jpg"
"4912","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_10_55_26_smartshoot.jpg"
"4913","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_11_05_42_smartshoot.jpg"
"4914","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_11_09_22_smartshoot.jpg"
"4915","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_11_12_30_smartshoot.jpg"
"4916","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_11_18_10_smartshoot.jpg"
"4917","4909","Wed, 2013-04-24","sites/streamwebs.org/files/images/wp_20130424_11_22_58_smartshoot.jpg"
"4919","4918","Wed, 2013-05-08","sites/streamwebs.org/files/images/wp_20130508_10_45_42_smartshoot.jpg"
"4920","4918","Wed, 2013-05-08","sites/streamwebs.org/files/images/wp_20130508_10_58_50_smartshoot.jpg"
"4921","4918","Wed, 2013-05-08","sites/streamwebs.org/files/images/wp_20130508_11_00_09_smartshoot.jpg"
"4922","4918","Wed, 2013-05-08","sites/streamwebs.org/files/images/wp_20130508_11_08_17_smartshoot.jpg"
"4923","4918","Wed, 2013-05-08","sites/streamwebs.org/files/images/wp_20130508_11_14_31_smartshoot.jpg"
"4924","4918","Wed, 2013-05-08","sites/streamwebs.org/files/images/wp_20130508_11_18_18_smartshoot.jpg"
"4926","4925","Wed, 2013-05-22","sites/streamwebs.org/files/images/wp_20130522_10_31_01_smartshoot.jpg"
"4927","4925","Wed, 2013-05-22","sites/streamwebs.org/files/images/wp_20130522_007.jpg"
"4928","4925","Wed, 2013-05-22","sites/streamwebs.org/files/images/wp_20130522_001.jpg"
"4929","4925","Wed, 2013-05-22","sites/streamwebs.org/files/images/wp_20130522_004.jpg"
"4930","4925","Wed, 2013-05-22","sites/streamwebs.org/files/images/wp_20130522_005.jpg"
"4931","4844","Fri, 2013-05-24","sites/streamwebs.org/files/images/sunp0013.jpg"
