"Fecal Coliform (CFU/100mL)","Type","Nid","Fecal Coliform (CFU/100mL) (field_fecal_coliform) - delta"
"","Data: Water Quality","3391",""
"","Data: Water Quality","3391","1"
"","Data: Water Quality","3391","2"
"","Data: Water Quality","3391","3"
"","Data: Water Quality","3412",""
"","Data: Water Quality","3412","1"
"","Data: Water Quality","3412","2"
"","Data: Water Quality","3412","3"
"","Data: Water Quality","3413",""
"","Data: Water Quality","3413","1"
"","Data: Water Quality","3413","2"
"","Data: Water Quality","3413","3"
"","Data: Water Quality","3414",""
"","Data: Water Quality","3414","1"
"","Data: Water Quality","3414","2"
"","Data: Water Quality","3414","3"
"","Data: Water Quality","3415",""
"","Data: Water Quality","3415","1"
"","Data: Water Quality","3415","2"
"","Data: Water Quality","3415","3"
"","Data: Water Quality","3416",""
"","Data: Water Quality","3416","1"
"","Data: Water Quality","3416","2"
"","Data: Water Quality","3416","3"
"","Data: Water Quality","3417",""
"","Data: Water Quality","3417","1"
"","Data: Water Quality","3417","2"
"","Data: Water Quality","3417","3"
"","Data: Water Quality","3418",""
"","Data: Water Quality","3418","1"
"","Data: Water Quality","3418","2"
"","Data: Water Quality","3418","3"
"","Data: Water Quality","3582",""
"","Data: Water Quality","3582","1"
"","Data: Water Quality","3582","2"
"","Data: Water Quality","3582","3"
"","Data: Water Quality","3587",""
"","Data: Water Quality","3587","1"
"","Data: Water Quality","3587","2"
"","Data: Water Quality","3587","3"
"","Data: Water Quality","3588",""
"","Data: Water Quality","3588","1"
"","Data: Water Quality","3588","2"
"","Data: Water Quality","3588","3"
"","Data: Water Quality","3606",""
"","Data: Water Quality","3606","1"
"","Data: Water Quality","3606","2"
"","Data: Water Quality","3606","3"
"","Data: Water Quality","3609",""
"","Data: Water Quality","3609","1"
"","Data: Water Quality","3609","2"
"","Data: Water Quality","3609","3"
"","Data: Water Quality","3610",""
"","Data: Water Quality","3610","1"
"","Data: Water Quality","3610","2"
"","Data: Water Quality","3610","3"
"","Data: Water Quality","3616",""
"","Data: Water Quality","3616","1"
"","Data: Water Quality","3616","2"
"","Data: Water Quality","3616","3"
"","Data: Water Quality","3617",""
"","Data: Water Quality","3617","1"
"","Data: Water Quality","3617","2"
"","Data: Water Quality","3617","3"
"","Data: Water Quality","3655",""
"","Data: Water Quality","3655","1"
"","Data: Water Quality","3655","2"
"","Data: Water Quality","3655","3"
"","Data: Water Quality","3675",""
"","Data: Water Quality","3675","1"
"","Data: Water Quality","3675","2"
"","Data: Water Quality","3675","3"
"","Data: Water Quality","3676",""
"","Data: Water Quality","3676","1"
"","Data: Water Quality","3676","2"
"","Data: Water Quality","3676","3"
"","Data: Water Quality","3677",""
"","Data: Water Quality","3677","1"
"","Data: Water Quality","3677","2"
"","Data: Water Quality","3677","3"
"","Data: Water Quality","3678",""
"","Data: Water Quality","3678","1"
"","Data: Water Quality","3678","2"
"","Data: Water Quality","3678","3"
"","Data: Water Quality","3679",""
"","Data: Water Quality","3679","1"
"","Data: Water Quality","3679","2"
"","Data: Water Quality","3679","3"
"","Data: Water Quality","3680",""
"","Data: Water Quality","3680","1"
"","Data: Water Quality","3680","2"
"","Data: Water Quality","3680","3"
"","Data: Water Quality","3681",""
"","Data: Water Quality","3681","1"
"","Data: Water Quality","3681","2"
"","Data: Water Quality","3681","3"
"","Data: Water Quality","3744",""
"","Data: Water Quality","3744","1"
"","Data: Water Quality","3744","2"
"","Data: Water Quality","3744","3"
"","Data: Water Quality","3746",""
"","Data: Water Quality","3746","1"
"","Data: Water Quality","3746","2"
"","Data: Water Quality","3746","3"
"","Data: Water Quality","3748",""
"","Data: Water Quality","3748","1"
"","Data: Water Quality","3748","2"
"","Data: Water Quality","3748","3"
"","Data: Water Quality","3750",""
"","Data: Water Quality","3750","1"
"","Data: Water Quality","3750","2"
"","Data: Water Quality","3750","3"
"","Data: Water Quality","3752",""
"","Data: Water Quality","3752","1"
"","Data: Water Quality","3752","2"
"","Data: Water Quality","3752","3"
"","Data: Water Quality","3753",""
"","Data: Water Quality","3753","1"
"","Data: Water Quality","3753","2"
"","Data: Water Quality","3753","3"
"","Data: Water Quality","3757",""
"","Data: Water Quality","3757","1"
"","Data: Water Quality","3757","2"
"","Data: Water Quality","3757","3"
"","Data: Water Quality","3758",""
"","Data: Water Quality","3758","1"
"","Data: Water Quality","3758","2"
"","Data: Water Quality","3758","3"
"","Data: Water Quality","3760",""
"","Data: Water Quality","3760","1"
"","Data: Water Quality","3760","2"
"","Data: Water Quality","3760","3"
"","Data: Water Quality","3764",""
"","Data: Water Quality","3764","1"
"","Data: Water Quality","3764","2"
"","Data: Water Quality","3764","3"
"","Data: Water Quality","3808",""
"","Data: Water Quality","3808","1"
"","Data: Water Quality","3808","2"
"","Data: Water Quality","3808","3"
"","Data: Water Quality","3822",""
"","Data: Water Quality","3822","1"
"","Data: Water Quality","3822","2"
"","Data: Water Quality","3822","3"
"","Data: Water Quality","3823",""
"","Data: Water Quality","3823","1"
"","Data: Water Quality","3823","2"
"","Data: Water Quality","3823","3"
"","Data: Water Quality","3824",""
"","Data: Water Quality","3824","1"
"","Data: Water Quality","3824","2"
"","Data: Water Quality","3824","3"
"","Data: Water Quality","3829",""
"","Data: Water Quality","3829","1"
"","Data: Water Quality","3829","2"
"","Data: Water Quality","3829","3"
"","Data: Water Quality","3942",""
"","Data: Water Quality","3942","1"
"","Data: Water Quality","3942","2"
"","Data: Water Quality","3942","3"
"","Data: Water Quality","3945",""
"","Data: Water Quality","3945","1"
"","Data: Water Quality","3945","2"
"","Data: Water Quality","3945","3"
"","Data: Water Quality","3995",""
"","Data: Water Quality","3995","1"
"","Data: Water Quality","3995","2"
"","Data: Water Quality","3995","3"
"","Data: Water Quality","4274",""
"","Data: Water Quality","4274","1"
"","Data: Water Quality","4274","2"
"","Data: Water Quality","4274","3"
"","Data: Water Quality","4315",""
"","Data: Water Quality","4315","1"
"","Data: Water Quality","4315","2"
"","Data: Water Quality","4315","3"
"","Data: Water Quality","4325",""
"","Data: Water Quality","4325","1"
"","Data: Water Quality","4325","2"
"","Data: Water Quality","4325","3"
"","Data: Water Quality","4437",""
"","Data: Water Quality","4437","1"
"","Data: Water Quality","4437","2"
"","Data: Water Quality","4437","3"
"","Data: Water Quality","4471",""
"","Data: Water Quality","4471","1"
"","Data: Water Quality","4471","2"
"","Data: Water Quality","4471","3"
"","Data: Water Quality","4484",""
"","Data: Water Quality","4484","1"
"","Data: Water Quality","4484","2"
"","Data: Water Quality","4484","3"
"","Data: Water Quality","4485",""
"","Data: Water Quality","4485","1"
"","Data: Water Quality","4485","2"
"","Data: Water Quality","4485","3"
"","Data: Water Quality","4549",""
"","Data: Water Quality","4549","1"
"","Data: Water Quality","4549","2"
"","Data: Water Quality","4549","3"
"","Data: Water Quality","4561",""
"","Data: Water Quality","4561","1"
"","Data: Water Quality","4561","2"
"","Data: Water Quality","4561","3"
"","Data: Water Quality","4583",""
"","Data: Water Quality","4583","1"
"","Data: Water Quality","4583","2"
"","Data: Water Quality","4583","3"
"","Data: Water Quality","4590",""
"","Data: Water Quality","4590","1"
"","Data: Water Quality","4590","2"
"","Data: Water Quality","4590","3"
"","Data: Water Quality","4591",""
"","Data: Water Quality","4591","1"
"","Data: Water Quality","4591","2"
"","Data: Water Quality","4591","3"
"","Data: Water Quality","4601",""
"","Data: Water Quality","4601","1"
"","Data: Water Quality","4601","2"
"","Data: Water Quality","4601","3"
"","Data: Water Quality","4622",""
