"pH","Type","Nid","pH (field_ph) - delta"
"0.5","Data: Water Quality","3316",""
"","Data: Water Quality","3316","1"
"","Data: Water Quality","3316","2"
"","Data: Water Quality","3316","3"
"5.5","Data: Water Quality","3317",""
"","Data: Water Quality","3317","1"
"","Data: Water Quality","3317","2"
"","Data: Water Quality","3317","3"
"7.8","Data: Water Quality","3324",""
"","Data: Water Quality","3324","1"
"","Data: Water Quality","3324","2"
"","Data: Water Quality","3324","3"
"8","Data: Water Quality","3325",""
"","Data: Water Quality","3325","1"
"","Data: Water Quality","3325","2"
"","Data: Water Quality","3325","3"
"8","Data: Water Quality","3326",""
"","Data: Water Quality","3326","1"
"","Data: Water Quality","3326","2"
"","Data: Water Quality","3326","3"
"7.5","Data: Water Quality","3327",""
"","Data: Water Quality","3327","1"
"","Data: Water Quality","3327","2"
"","Data: Water Quality","3327","3"
"7.5","Data: Water Quality","3328",""
"","Data: Water Quality","3328","1"
"","Data: Water Quality","3328","2"
"","Data: Water Quality","3328","3"
"7.5","Data: Water Quality","3329",""
"","Data: Water Quality","3329","1"
"","Data: Water Quality","3329","2"
"","Data: Water Quality","3329","3"
"7.5","Data: Water Quality","3332",""
"","Data: Water Quality","3332","1"
"","Data: Water Quality","3332","2"
"","Data: Water Quality","3332","3"
"7.5","Data: Water Quality","3333",""
"","Data: Water Quality","3333","1"
"","Data: Water Quality","3333","2"
"","Data: Water Quality","3333","3"
"9","Data: Water Quality","3334",""
"","Data: Water Quality","3334","1"
"","Data: Water Quality","3334","2"
"","Data: Water Quality","3334","3"
"8.5","Data: Water Quality","3335",""
"","Data: Water Quality","3335","1"
"","Data: Water Quality","3335","2"
"","Data: Water Quality","3335","3"
"8","Data: Water Quality","3336",""
"","Data: Water Quality","3336","1"
"","Data: Water Quality","3336","2"
"","Data: Water Quality","3336","3"
"6.2","Data: Water Quality","3337",""
"","Data: Water Quality","3337","1"
"","Data: Water Quality","3337","2"
"","Data: Water Quality","3337","3"
"8","Data: Water Quality","3344",""
"","Data: Water Quality","3344","1"
"","Data: Water Quality","3344","2"
"","Data: Water Quality","3344","3"
"8","Data: Water Quality","3347",""
"","Data: Water Quality","3347","1"
"","Data: Water Quality","3347","2"
"","Data: Water Quality","3347","3"
"8","Data: Water Quality","3350",""
"","Data: Water Quality","3350","1"
"","Data: Water Quality","3350","2"
"","Data: Water Quality","3350","3"
"8","Data: Water Quality","3353",""
"","Data: Water Quality","3353","1"
"","Data: Water Quality","3353","2"
"","Data: Water Quality","3353","3"
"7.5","Data: Water Quality","3382",""
"","Data: Water Quality","3382","1"
"","Data: Water Quality","3382","2"
"","Data: Water Quality","3382","3"
"8","Data: Water Quality","3391",""
"","Data: Water Quality","3391","1"
"","Data: Water Quality","3391","2"
"","Data: Water Quality","3391","3"
"2.3","Data: Water Quality","3412",""
"","Data: Water Quality","3412","1"
"","Data: Water Quality","3412","2"
"","Data: Water Quality","3412","3"
"5","Data: Water Quality","3413",""
"","Data: Water Quality","3413","1"
"","Data: Water Quality","3413","2"
"","Data: Water Quality","3413","3"
"5","Data: Water Quality","3414",""
"","Data: Water Quality","3414","1"
"","Data: Water Quality","3414","2"
"","Data: Water Quality","3414","3"
"5","Data: Water Quality","3415",""
"","Data: Water Quality","3415","1"
"","Data: Water Quality","3415","2"
"","Data: Water Quality","3415","3"
"5","Data: Water Quality","3416",""
"","Data: Water Quality","3416","1"
"","Data: Water Quality","3416","2"
"","Data: Water Quality","3416","3"
"5.5","Data: Water Quality","3417",""
"","Data: Water Quality","3417","1"
"","Data: Water Quality","3417","2"
"","Data: Water Quality","3417","3"
"5","Data: Water Quality","3418",""
"","Data: Water Quality","3418","1"
"","Data: Water Quality","3418","2"
"","Data: Water Quality","3418","3"
"7.5","Data: Water Quality","3582",""
"","Data: Water Quality","3582","1"
"","Data: Water Quality","3582","2"
"","Data: Water Quality","3582","3"
"8","Data: Water Quality","3587",""
"","Data: Water Quality","3587","1"
"","Data: Water Quality","3587","2"
"","Data: Water Quality","3587","3"
"7.5","Data: Water Quality","3588",""
"","Data: Water Quality","3588","1"
"","Data: Water Quality","3588","2"
"","Data: Water Quality","3588","3"
"7.3","Data: Water Quality","3606",""
"7.7","Data: Water Quality","3606","1"
"8.25","Data: Water Quality","3606","2"
"","Data: Water Quality","3606","3"
"8","Data: Water Quality","3609",""
"","Data: Water Quality","3609","1"
"","Data: Water Quality","3609","2"
"","Data: Water Quality","3609","3"
"8","Data: Water Quality","3610",""
"","Data: Water Quality","3610","1"
"","Data: Water Quality","3610","2"
"","Data: Water Quality","3610","3"
"8","Data: Water Quality","3616",""
"","Data: Water Quality","3616","1"
"","Data: Water Quality","3616","2"
"","Data: Water Quality","3616","3"
"8","Data: Water Quality","3617",""
"","Data: Water Quality","3617","1"
"","Data: Water Quality","3617","2"
"","Data: Water Quality","3617","3"
"6.5","Data: Water Quality","3655",""
"","Data: Water Quality","3655","1"
"","Data: Water Quality","3655","2"
"","Data: Water Quality","3655","3"
"5","Data: Water Quality","3675",""
"","Data: Water Quality","3675","1"
"","Data: Water Quality","3675","2"
"","Data: Water Quality","3675","3"
"5","Data: Water Quality","3676",""
"","Data: Water Quality","3676","1"
"","Data: Water Quality","3676","2"
"","Data: Water Quality","3676","3"
"5","Data: Water Quality","3677",""
"","Data: Water Quality","3677","1"
"","Data: Water Quality","3677","2"
"","Data: Water Quality","3677","3"
"5","Data: Water Quality","3678",""
"","Data: Water Quality","3678","1"
"","Data: Water Quality","3678","2"
"","Data: Water Quality","3678","3"
"5","Data: Water Quality","3679",""
"","Data: Water Quality","3679","1"
"","Data: Water Quality","3679","2"
"","Data: Water Quality","3679","3"
"5.5","Data: Water Quality","3680",""
"","Data: Water Quality","3680","1"
"","Data: Water Quality","3680","2"
"","Data: Water Quality","3680","3"
"5","Data: Water Quality","3681",""
"","Data: Water Quality","3681","1"
"","Data: Water Quality","3681","2"
"","Data: Water Quality","3681","3"
"8","Data: Water Quality","3744",""
"7.5","Data: Water Quality","3744","1"
"","Data: Water Quality","3744","2"
"","Data: Water Quality","3744","3"
"7.5","Data: Water Quality","3746",""
"8","Data: Water Quality","3746","1"
"","Data: Water Quality","3746","2"
"","Data: Water Quality","3746","3"
"7","Data: Water Quality","3748",""
"","Data: Water Quality","3748","1"
"","Data: Water Quality","3748","2"
"","Data: Water Quality","3748","3"
"7","Data: Water Quality","3750",""
"6","Data: Water Quality","3750","1"
"","Data: Water Quality","3750","2"
"","Data: Water Quality","3750","3"
"8","Data: Water Quality","3752",""
"8","Data: Water Quality","3752","1"
"","Data: Water Quality","3752","2"
"","Data: Water Quality","3752","3"
"8","Data: Water Quality","3753",""
"","Data: Water Quality","3753","1"
"","Data: Water Quality","3753","2"
"","Data: Water Quality","3753","3"
"5.3","Data: Water Quality","3757",""
