"Water Temperature","Type","Nid","Delta"
"44","Data: Water Quality","3305","2"
"44","Data: Water Quality","3305","3"
"53","Data: Water Quality","3308",""
"53","Data: Water Quality","3308","1"
"54","Data: Water Quality","3308","2"
"54","Data: Water Quality","3308","3"
"16.1","Data: Water Quality","3313",""
"","Data: Water Quality","3313","1"
"","Data: Water Quality","3313","2"
"","Data: Water Quality","3313","3"
"16.1","Data: Water Quality","3314",""
"","Data: Water Quality","3314","1"
"","Data: Water Quality","3314","2"
"","Data: Water Quality","3314","3"
"15.7","Data: Water Quality","3315",""
"","Data: Water Quality","3315","1"
"","Data: Water Quality","3315","2"
"","Data: Water Quality","3315","3"
"15.8","Data: Water Quality","3316",""
"","Data: Water Quality","3316","1"
"","Data: Water Quality","3316","2"
"","Data: Water Quality","3316","3"
"16.1","Data: Water Quality","3317",""
"","Data: Water Quality","3317","1"
"","Data: Water Quality","3317","2"
"","Data: Water Quality","3317","3"
"18","Data: Water Quality","3324",""
"","Data: Water Quality","3324","1"
"","Data: Water Quality","3324","2"
"","Data: Water Quality","3324","3"
"12","Data: Water Quality","3325",""
"","Data: Water Quality","3325","1"
"","Data: Water Quality","3325","2"
"","Data: Water Quality","3325","3"
"60","Data: Water Quality","3326",""
"","Data: Water Quality","3326","1"
"","Data: Water Quality","3326","2"
"","Data: Water Quality","3326","3"
"18","Data: Water Quality","3327",""
"","Data: Water Quality","3327","1"
"","Data: Water Quality","3327","2"
"","Data: Water Quality","3327","3"
"18","Data: Water Quality","3328",""
"","Data: Water Quality","3328","1"
"","Data: Water Quality","3328","2"
"","Data: Water Quality","3328","3"
"13","Data: Water Quality","3329",""
"","Data: Water Quality","3329","1"
"","Data: Water Quality","3329","2"
"","Data: Water Quality","3329","3"
"19","Data: Water Quality","3332",""
"","Data: Water Quality","3332","1"
"","Data: Water Quality","3332","2"
"","Data: Water Quality","3332","3"
"18","Data: Water Quality","3333",""
"","Data: Water Quality","3333","1"
"","Data: Water Quality","3333","2"
"","Data: Water Quality","3333","3"
"18","Data: Water Quality","3334",""
"","Data: Water Quality","3334","1"
"","Data: Water Quality","3334","2"
"","Data: Water Quality","3334","3"
"19","Data: Water Quality","3335",""
"","Data: Water Quality","3335","1"
"","Data: Water Quality","3335","2"
"","Data: Water Quality","3335","3"
"28","Data: Water Quality","3336",""
"","Data: Water Quality","3336","1"
"","Data: Water Quality","3336","2"
"","Data: Water Quality","3336","3"
"15.6","Data: Water Quality","3337",""
"","Data: Water Quality","3337","1"
"","Data: Water Quality","3337","2"
"","Data: Water Quality","3337","3"
"50","Data: Water Quality","3344",""
"","Data: Water Quality","3344","1"
"","Data: Water Quality","3344","2"
"","Data: Water Quality","3344","3"
"58","Data: Water Quality","3347",""
"","Data: Water Quality","3347","1"
"","Data: Water Quality","3347","2"
