"Turbidity (NTU)","Type","Nid","Delta"
"10","Data: Water Quality","3249",""
"","Data: Water Quality","3249","1"
"","Data: Water Quality","3249","2"
"","Data: Water Quality","3249","3"
"17","Data: Water Quality","3254",""
"","Data: Water Quality","3254","1"
"","Data: Water Quality","3254","2"
"","Data: Water Quality","3254","3"
"10","Data: Water Quality","3256",""
"","Data: Water Quality","3256","1"
"","Data: Water Quality","3256","2"
"","Data: Water Quality","3256","3"
"10","Data: Water Quality","3259",""
"10","Data: Water Quality","3259","1"
"10","Data: Water Quality","3259","2"
"","Data: Water Quality","3259","3"
"160","Data: Water Quality","3260",""
"","Data: Water Quality","3260","1"
"","Data: Water Quality","3260","2"
"","Data: Water Quality","3260","3"
"","Data: Water Quality","3262",""
"","Data: Water Quality","3262","1"
"","Data: Water Quality","3262","2"
"","Data: Water Quality","3262","3"
"7","Data: Water Quality","3305",""
"5","Data: Water Quality","3305","1"
"5","Data: Water Quality","3305","2"
"5","Data: Water Quality","3305","3"
"10","Data: Water Quality","3308",""
"10","Data: Water Quality","3308","1"
"10","Data: Water Quality","3308","2"
"10","Data: Water Quality","3308","3"
"50.6","Data: Water Quality","3313",""
"","Data: Water Quality","3313","1"
"","Data: Water Quality","3313","2"
"","Data: Water Quality","3313","3"
"57.9","Data: Water Quality","3314",""
"","Data: Water Quality","3314","1"
"","Data: Water Quality","3314","2"
"","Data: Water Quality","3314","3"
"36.2","Data: Water Quality","3315",""
"","Data: Water Quality","3315","1"
"","Data: Water Quality","3315","2"
"","Data: Water Quality","3315","3"
"52.2","Data: Water Quality","3316",""
"","Data: Water Quality","3316","1"
"","Data: Water Quality","3316","2"
"","Data: Water Quality","3316","3"
"24","Data: Water Quality","3317",""
"","Data: Water Quality","3317","1"
"","Data: Water Quality","3317","2"
"","Data: Water Quality","3317","3"
"9","Data: Water Quality","3324",""
"","Data: Water Quality","3324","1"
"","Data: Water Quality","3324","2"
"","Data: Water Quality","3324","3"
"27","Data: Water Quality","3325",""
"","Data: Water Quality","3325","1"
"","Data: Water Quality","3325","2"
"","Data: Water Quality","3325","3"
"","Data: Water Quality","3326",""
"","Data: Water Quality","3326","1"
"","Data: Water Quality","3326","2"
"","Data: Water Quality","3326","3"
"10","Data: Water Quality","3327",""
"","Data: Water Quality","3327","1"
"","Data: Water Quality","3327","2"
"","Data: Water Quality","3327","3"
"10","Data: Water Quality","3328",""
"","Data: Water Quality","3328","1"
"","Data: Water Quality","3328","2"
"","Data: Water Quality","3328","3"
"10","Data: Water Quality","3329",""
"","Data: Water Quality","3329","1"
"","Data: Water Quality","3329","2"
"","Data: Water Quality","3329","3"
"10","Data: Water Quality","3332",""
"","Data: Water Quality","3332","1"
"","Data: Water Quality","3332","2"
"","Data: Water Quality","3332","3"
"10","Data: Water Quality","3333",""
"","Data: Water Quality","3333","1"
"","Data: Water Quality","3333","2"
"","Data: Water Quality","3333","3"
"10","Data: Water Quality","3334",""
"","Data: Water Quality","3334","1"
"","Data: Water Quality","3334","2"
"","Data: Water Quality","3334","3"
"10","Data: Water Quality","3335",""
"","Data: Water Quality","3335","1"
"","Data: Water Quality","3335","2"
"","Data: Water Quality","3335","3"
"10","Data: Water Quality","3336",""
"","Data: Water Quality","3336","1"
"","Data: Water Quality","3336","2"
"","Data: Water Quality","3336","3"
"21","Data: Water Quality","3337",""
"","Data: Water Quality","3337","1"
"","Data: Water Quality","3337","2"
"","Data: Water Quality","3337","3"
"","Data: Water Quality","3344",""
"","Data: Water Quality","3344","1"
"","Data: Water Quality","3344","2"
"","Data: Water Quality","3344","3"
"","Data: Water Quality","3347",""
"","Data: Water Quality","3347","1"
"","Data: Water Quality","3347","2"
"","Data: Water Quality","3347","3"
"","Data: Water Quality","3350",""
"","Data: Water Quality","3350","1"
"","Data: Water Quality","3350","2"
"","Data: Water Quality","3350","3"
"","Data: Water Quality","3353",""
"","Data: Water Quality","3353","1"
"","Data: Water Quality","3353","2"
"","Data: Water Quality","3353","3"
"20","Data: Water Quality","3382",""
"","Data: Water Quality","3382","1"
"","Data: Water Quality","3382","2"
"","Data: Water Quality","3382","3"
"10","Data: Water Quality","3391",""
"","Data: Water Quality","3391","1"
"","Data: Water Quality","3391","2"
"","Data: Water Quality","3391","3"
"23.1","Data: Water Quality","3412",""
"","Data: Water Quality","3412","1"
"","Data: Water Quality","3412","2"
"","Data: Water Quality","3412","3"
"305","Data: Water Quality","3413",""
"","Data: Water Quality","3413","1"
"","Data: Water Quality","3413","2"
"","Data: Water Quality","3413","3"
"35.5","Data: Water Quality","3414",""
"","Data: Water Quality","3414","1"
"","Data: Water Quality","3414","2"
"","Data: Water Quality","3414","3"
"44.6","Data: Water Quality","3415",""
"","Data: Water Quality","3415","1"
"","Data: Water Quality","3415","2"
"","Data: Water Quality","3415","3"
"44.6","Data: Water Quality","3416",""
"","Data: Water Quality","3416","1"
"","Data: Water Quality","3416","2"
"","Data: Water Quality","3416","3"
"23.7","Data: Water Quality","3417",""
"","Data: Water Quality","3417","1"
"","Data: Water Quality","3417","2"
"","Data: Water Quality","3417","3"
"53.9","Data: Water Quality","3418",""
"","Data: Water Quality","3418","1"
"","Data: Water Quality","3418","2"
"","Data: Water Quality","3418","3"
"5","Data: Water Quality","3582",""
"","Data: Water Quality","3582","1"
"","Data: Water Quality","3582","2"
"","Data: Water Quality","3582","3"
"10","Data: Water Quality","3587",""
"","Data: Water Quality","3587","1"
"","Data: Water Quality","3587","2"
"","Data: Water Quality","3587","3"
"40","Data: Water Quality","3588",""
"","Data: Water Quality","3588","1"
"","Data: Water Quality","3588","2"
"","Data: Water Quality","3588","3"
"13","Data: Water Quality","3606",""
"15.7","Data: Water Quality","3606","1"
"17","Data: Water Quality","3606","2"
"","Data: Water Quality","3606","3"
"20","Data: Water Quality","3609",""
"","Data: Water Quality","3609","1"
"","Data: Water Quality","3609","2"
"","Data: Water Quality","3609","3"
"20","Data: Water Quality","3610",""
"","Data: Water Quality","3610","1"
"","Data: Water Quality","3610","2"
"","Data: Water Quality","3610","3"
"","Data: Water Quality","3616",""
"","Data: Water Quality","3616","1"
"","Data: Water Quality","3616","2"
"","Data: Water Quality","3616","3"
"","Data: Water Quality","3617",""
"","Data: Water Quality","3617","1"
"","Data: Water Quality","3617","2"
"","Data: Water Quality","3617","3"
"28","Data: Water Quality","3655",""
"","Data: Water Quality","3655","1"
"","Data: Water Quality","3655","2"
"","Data: Water Quality","3655","3"
"74","Data: Water Quality","3675",""
"","Data: Water Quality","3675","1"
"","Data: Water Quality","3675","2"
"","Data: Water Quality","3675","3"
"16.9","Data: Water Quality","3676",""
"","Data: Water Quality","3676","1"
"","Data: Water Quality","3676","2"
"","Data: Water Quality","3676","3"
"17","Data: Water Quality","3677",""
"","Data: Water Quality","3677","1"
"","Data: Water Quality","3677","2"
"","Data: Water Quality","3677","3"
"43.7","Data: Water Quality","3678",""
"","Data: Water Quality","3678","1"
"","Data: Water Quality","3678","2"
"","Data: Water Quality","3678","3"
"74.1","Data: Water Quality","3679",""
"","Data: Water Quality","3679","1"
"","Data: Water Quality","3679","2"
"","Data: Water Quality","3679","3"
"16.9","Data: Water Quality","3680",""
"","Data: Water Quality","3680","1"
"","Data: Water Quality","3680","2"
